species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
arabica,kenya,central_kenya,sl34,washed,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,1200,1200
arabica,colombia,santander,caturra,washed,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,1550,1550
arabica,colombia,santander,caturra,natural,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,1550,1550
arabica,indonesia,sumatra,lintong,semi_washed,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,1250,1400
arabica,guatemala,huehuetenango,caturra,washed,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,1400,1400
arabica,colombia,pasto,caturra,natural,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,2560,2560
arabica,ethiopia,aricha,unknown,natural,8.42,8.0,7.42,8.0,7.92,7.92,10.0,10.0,1700,1700
arabica,colombia,cundinamarca,caturra,natural,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,2136,2136
arabica,uganda,eastern_uganda,sl14,washed,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,1800,1800
arabica,costa_rica,tarrazu,catuai,washed,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,1900,1900
arabica,mexico,veracruz,typica,washed,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,1300,1300
arabica,kenya,central_kenya,sl34,washed,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,1580,1580
arabica,brazil,grama_valley,mundo_novo,natural,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,1100,1100
arabica,colombia,huila,caturra,washed,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,1600,1950
arabica,taiwan,natou_county,typica,semi_washed,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,800,800
arabica,"tanzania,_united_republic_of",mbeya,other,washed,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,1620,1620
arabica,colombia,huila,caturra,washed,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,1600,1950
arabica,mexico,coatepec,typica,semi_washed,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,1200,1200
arabica,brazil,south_of_minas,bourbon,natural,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,1200,1200
arabica,brazil,south_of_minas,catuai,natural,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,1000,1000
arabica,taiwan,dongshan_dist.,typica,natural,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,350,350
arabica,uganda,eastern,sl14,natural,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,1400,1900
arabica,kenya,nyeri,sl34,washed,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,1800,1800
arabica,honduras,marcala,catuai,washed,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,1450,1450
arabica,el_salvador,apaneca,bourbon,washed,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,1350,1350
arabica,indonesia,temanggung,java,washed,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,1200,1200
arabica,japan,okinawa,mundo_novo,pulped_natural,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,170,170
arabica,costa_rica,tarrazu,catuai,washed,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,1150,1150
arabica,guatemala,acatenango,bourbon,washed,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,1600,1600
arabica,costa_rica,tarrazu,caturra,washed,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,1750,1750
arabica,ethiopia,yirgacheffe,yirgacheffe,washed,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,1900,1900
arabica,costa_rica,costa_rica,other,other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,1750,1750
arabica,costa_rica,west_valley,catuai,washed,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,1200,1200
arabica,taiwan,taichung_xinshe_台中市新社區,typica,washed,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,1000,1000
arabica,colombia,santander,caturra,washed,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,1550,1550
arabica,kenya,nyeri,sl28,washed,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,2000,2000
arabica,guatemala,oriente,bourbon,washed,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,1310,1310
arabica,guatemala,acatenango,bourbon,washed,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,1524,1524
arabica,mexico,el_remudadero,typica,washed,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,1200,1200
arabica,uganda,mbale,other,washed,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,1700,1850
arabica,kenya,nyeri,sl34,washed,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,1754,1754
