species,country_of_origin,region,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,clean_cup,sweetness,altitude_low_meters,altitude_high_meters
Arabica,Costa Rica,west valley,Caturra,Washed ,7.92,8.08,8.0,7.92,8.0,8.08,10.0,9.33,1300,1300
Arabica,Costa Rica,san ramon,Caturra,Washed ,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,1300,1300
Arabica,Kenya,central kenya,SL34,Washed ,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,1600,1600
Arabica,Kenya,central kenya,SL34,Washed ,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,1200,1200
Arabica,Colombia,santander,Caturra,Washed ,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,1550,1550
Arabica,Colombia,santander,Caturra,Natural ,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,1550,1550
Arabica,Indonesia,sumatra,Lintong,Semi-washed ,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,1250,1400
Arabica,Guatemala,huehuetenango,Caturra,Washed ,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,1400,1400
Arabica,Colombia,pasto,Caturra,Natural ,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,2560,2560
Arabica,Ethiopia,aricha,Unknown,Natural ,8.42,8.0,7.42,8.0,7.92,7.92,10.0,10.0,1700,1700
Arabica,Colombia,cundinamarca,Caturra,Natural ,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,2136,2136
Arabica,Uganda,eastern uganda,SL14,Washed ,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,1800,1800
Arabica,Costa Rica,tarrazu,Catuai,Washed ,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,1900,1900
Arabica,Mexico,veracruz,Typica,Washed ,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,1300,1300
Arabica,Kenya,central kenya,SL34,Washed ,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,1580,1580
Arabica,Brazil,grama valley,Mundo Novo,Natural ,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,1100,1100
Arabica,Colombia,huila,Caturra,Washed ,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,1600,1950
Arabica,Taiwan,natou county,Typica,Semi-washed ,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,800,800
Arabica,"Tanzania, United Republic Of",mbeya,Other,Washed ,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,1620,1620
Arabica,Colombia,huila,Caturra,Washed ,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,1600,1950
Arabica,Mexico,coatepec,Typica,Semi-washed ,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,1200,1200
Arabica,Brazil,south of minas,Bourbon,Natural ,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,1200,1200
Arabica,Brazil,south of minas,Catuai,Natural ,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,1000,1000
Arabica,Taiwan,dongshan dist.,Typica,Natural ,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,350,350
Arabica,Uganda,eastern,SL14,Natural ,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,1400,1900
Arabica,Kenya,nyeri,SL34,Washed ,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,1800,1800
Arabica,Honduras,marcala,Catuai,Washed ,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,1450,1450
Arabica,El Salvador,apaneca,Bourbon,Washed ,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,1350,1350
Arabica,Indonesia,temanggung,Java,Washed ,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,1200,1200
Arabica,Japan,okinawa,Mundo Novo,Pulped natural ,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,170,170
Arabica,Costa Rica,tarrazu,Catuai,Washed ,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,1150,1150
Arabica,Guatemala,acatenango,Bourbon,Washed ,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,1600,1600
Arabica,Costa Rica,tarrazu,Caturra,Washed ,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,1750,1750
Arabica,Ethiopia,yirgacheffe,Yirgacheffe,Washed ,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,1900,1900
Arabica,Costa Rica,costa rica,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,1750,1750
Arabica,Costa Rica,west valley,Catuai,Washed ,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,1200,1200
Arabica,Taiwan,taichung xinshe 台中市新社區,Typica,Washed ,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,1000,1000
Arabica,Colombia,santander,Caturra,Washed ,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,1550,1550
Arabica,Kenya,nyeri,SL28,Washed ,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,2000,2000
Arabica,Guatemala,oriente,Bourbon,Washed ,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,1310,1310
Arabica,Guatemala,acatenango,Bourbon,Washed ,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,1524,1524
Arabica,Mexico,el remudadero,Typica,Washed ,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,1200,1200
Arabica,Uganda,mbale,Other,Washed ,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,1700,1850
Arabica,Kenya,nyeri,SL34,Washed ,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,1754,1754
Arabica,Colombia,santander,Other,Washed ,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,1500,1500
Arabica,Kenya,nyeri,Peaberry,Washed ,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,1800,1800
Arabica,Guatemala,jalapa,Pacas,Washed ,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,1524,1524
Arabica,Guatemala,oriente,Bourbon,Washed ,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,1219,1219
Arabica,Colombia,santander,Caturra,Washed ,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,1550,1550
Arabica,Colombia,huila,Caturra,Washed ,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,1600,1900
Arabica,Colombia,huila,Caturra,Washed ,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,1750,1750
Arabica,Costa Rica,tres rios,Bourbon,Semi-washed ,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,1450,1700
Arabica,Colombia,huila,Caturra,Washed ,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,1800,1800
Arabica,Brazil,vale da grama,Bourbon,Semi-washed ,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,1300,1300
Arabica,Brazil,mountains of minas gerais,Catuai,Semi-washed ,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,1100,1100
Arabica,Costa Rica,valle central,Caturra,Washed ,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,1200,1200
Arabica,Uganda,eastern uganda,SL14,Washed ,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,1750,1750
Arabica,China,yunnan,Catimor,Washed ,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,1680,1680
Arabica,Costa Rica,tarrazu,Caturra,Washed ,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,1700,1700
Arabica,Colombia,cauca,Other,Washed ,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,1800,1800
Arabica,China,yunnan,Other,Washed ,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,1100,1100
Arabica,Guatemala,oriente,Bourbon,Washed ,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,1310,1310
Arabica,Kenya,nyeri,SL28,Washed ,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,2000,2000
Arabica,Mexico,hustusco,Typica,Washed ,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,1350,1350
Arabica,Mexico,jaltenango,Typica,Washed ,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,1500,1500
Arabica,Costa Rica,tarrazu,Caturra,Washed ,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,1300,1300
Arabica,Indonesia,sumatra,Mandheling,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,1400,1400
Arabica,Colombia,huila,Caturra,Washed ,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,1600,1950
Arabica,Taiwan,mountain ali,Typica,Washed ,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,1200,1200
Arabica,Mexico,tapachula,Pacamara,Washed ,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,900,900
Arabica,Kenya,nyeri,SL28,Washed ,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,1800,1800
Arabica,Honduras,central region,Catuai,Washed ,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,1500,1500
Arabica,Colombia,huila,Caturra,Natural ,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,442,442
Arabica,Colombia,huila,Caturra,Washed ,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,1800,1800
Arabica,Mexico,tuxtla gutierrez,Typica,Washed ,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,1700,1700
Arabica,Taiwan,國姓鄉 guoshing township,Typica,Washed ,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,1000,1000
Arabica,Thailand,chiang rai thailand,Catimor,Natural ,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,1200,1200
Arabica,Colombia,nariño,Caturra,Natural ,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,2560,2560
Arabica,Guatemala,antigua,Caturra,Washed ,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,1500,1500
Arabica,Guatemala,huehuetenango,Caturra,Washed ,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,1099,1099
Arabica,China,yunnan,Catimor,Natural ,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,1400,1400
Arabica,Colombia,huila,Caturra,Washed ,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,1600,1950
Arabica,Colombia,huila,Caturra,Washed ,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,1600,1950
Arabica,Colombia,cauca,Other,Washed ,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,1800,1800
Arabica,Colombia,huila,Caturra,Natural ,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,442,442
Arabica,"Tanzania, United Republic Of",shizingo village,Other,Washed ,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,1620,1620
Arabica,"Tanzania, United Republic Of",mbeya,Other,Washed ,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,1600,1600
Arabica,Guatemala,oriente,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,1219,1219
Arabica,Colombia,cauca,Caturra,Washed ,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,1700,1700
Arabica,Mexico,san pedro cotzilnam,Typica,Semi-washed ,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,1450,1450
Arabica,Mexico,veracruz,Bourbon,Washed ,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,1170,1170
Arabica,Mexico,la concordia,Bourbon,Washed ,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,1400,1400
Arabica,Uganda,kasese,Other,Natural ,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,1700,1700
Arabica,Guatemala,san marcos,Bourbon,Washed ,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,1700,1700
Arabica,Costa Rica,tarrazu,Caturra,Washed ,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,1700,1700
Arabica,Guatemala,huehuetenango,Caturra,Washed ,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,1116,1116
Arabica,Guatemala,solola,Caturra,Washed ,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,1565,1565
Arabica,Guatemala,norte,Bourbon,Washed ,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,3280,3280
Arabica,Colombia,huila,Caturra,Washed ,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,1600,1950
Arabica,Nicaragua,jinotega,Caturra,Natural ,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,900,1100
Arabica,Brazil,cerrado,Catuai,Natural ,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,1150,1150
Arabica,Costa Rica,tarrazu,Caturra,Washed ,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,1850,1850
Arabica,Ethiopia,kaffa zone,Gesha,Natural ,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,1545,1668
Arabica,"Tanzania, United Republic Of",arusha,Other,Washed ,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,1400,1400
Arabica,Colombia,huila,Other,Washed ,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,1530,1530
Arabica,Kenya,kenya,SL28,Washed ,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,1,500
Arabica,Brazil,minas gerais,Mundo Novo,Natural ,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,894,1183
Arabica,Guatemala,oriente,Bourbon,Washed ,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,1310,1310
Arabica,El Salvador,apaneca,Bourbon,Natural ,8.42,8.08,7.5,7.17,7.58,8.17,10.0,10.0,1500,1500
Arabica,Colombia,huila,Caturra,Washed ,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,1750,1750
Arabica,Uganda,mt. rwenzori,Other,Washed ,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,1500,1700
Arabica,Colombia,huila,Caturra,Washed ,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,442,442
Arabica,Taiwan,nanxi dist.,Typica,Washed ,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,968,968
Arabica,Colombia,huila,Caturra,Washed ,7.92,7.75,7.67,7.75,7.67,7.67,10.0,10.0,1600,1950
Arabica,Guatemala,aldea xeucalvitz,Bourbon,Washed ,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,1550,1550
Arabica,Mexico,santo domingo cacalotepec,Typica,Washed ,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,1480,1480
Arabica,Ethiopia,ethiopia,Other,Natural ,7.92,7.92,7.83,8.0,7.92,7.92,10.0,8.67,1800,1800
Arabica,Ethiopia,sidamo,Gesha,Natural ,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,1800,1800
Arabica,Honduras,comayagua,Caturra,Washed ,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,1500,1500
Arabica,Guatemala,huehuetenango,Caturra,Washed ,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,1658,1755
Arabica,Colombia,huila,Other,Washed ,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,1600,1600
Arabica,Guatemala,oriente,Bourbon,Natural ,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,1219,1219
Arabica,Guatemala,oriente,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,1219,1219
Arabica,Colombia,huila,Unknown,Washed ,7.67,7.75,7.67,7.67,7.67,7.75,10.0,10.0,1480,1480
Arabica,Colombia,santander,Caturra,Natural ,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,1450,1450
Arabica,Colombia,huila,Caturra,Washed ,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,1600,1950
Arabica,Ethiopia,sidamo,Other,Natural ,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,1550,1550
Arabica,Brazil,south of minas,Yellow Bourbon,Natural ,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,1260,1260
Arabica,Colombia,cauca,Caturra,Washed ,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,1700,1700
Arabica,Kenya,blend,SL34,Washed ,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,1200,1200
Arabica,Kenya,central kenya,SL28,Washed ,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,1650,1650
Arabica,Uganda,kasese,Other,Washed ,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,1700,1700
Arabica,Brazil,south of minas,Bourbon,Natural ,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,890,890
Arabica,Mexico,veracruz,Mundo Novo,Washed ,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,1300,1300
Arabica,Thailand,chiangrai,Catimor,Natural ,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,1350,1350
Arabica,Brazil,south of minas,Bourbon,Natural ,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,934,934
Arabica,Taiwan,leye,Typica,Washed ,7.83,7.75,7.83,7.75,7.83,7.75,10.0,10.0,1200,1200
Arabica,Colombia,huila,Caturra,Washed ,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,1600,1950
Arabica,Taiwan,台中和平區,Typica,Washed ,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,950,950
Arabica,Colombia,santander,Caturra,Natural ,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,1550,1550
Arabica,Mexico,xicotepec de juarez,Typica,Washed ,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,900,900
Arabica,Mexico,la concordia,Typica,Washed ,7.5,7.67,7.58,7.83,7.75,7.75,10.0,10.0,1500,1500
Arabica,Mexico,la yerbabuena,Typica,Washed ,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,1400,1400
Arabica,Colombia,nariño,Caturra,Washed ,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,2527,2527
Arabica,Costa Rica,tarrazu,Caturra,Washed ,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,1850,1850
Arabica,Guatemala,antigua,Bourbon,Washed ,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,1500,1500
Arabica,Brazil,south of minas,Yellow Bourbon,Natural ,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,1,1
Arabica,Taiwan,dongshan dist.,Typica,Washed ,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,480,570
Arabica,Ethiopia,oromia,Unknown,Natural ,7.75,7.75,7.67,7.67,7.58,7.67,10.0,10.0,1650,1703
Arabica,Brazil,south of minas,Bourbon,Semi-washed ,7.67,7.67,7.58,7.5,7.83,8.17,10.0,9.33,1200,1200
Arabica,Costa Rica,central valley,Catuai,Washed ,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,1200,1400
